代码,TS代码,板块,简称,最新价,流通市值_亿,总市值_亿,PE_TTM,扣非PE,PB,PS_TTM,股息率_%,52周高点,距52周高点跌幅_%,已在Watchlist
603299,603299.SH,沪,苏盐井神,8.98,70.09,85.74,18.2457,26.9877,1.0775,1.9517,2.81,12.79,29.79,否
603317,603317.SH,沪,天味食品,13.44,142.74,142.74,19.1579,20.6499,3.4183,3.6252,4.07,17.3,22.31,否
603328,603328.SH,沪,依顿电子,11.07,110.53,110.53,28.5533,29.5975,2.6566,2.7531,1.52,15.45,28.35,否
603337,603337.SH,沪,杰克科技,37.9,177.0,180.55,20.8269,23.063,3.493,2.6483,1.13,57.33,33.89,否
603338,603338.SH,沪,浙江鼎力,53.76,272.21,272.21,14.1522,14.8642,2.4172,2.9799,2.14,64.6,16.78,否
603355,603355.SH,沪,莱克电气,28.51,163.48,163.48,27.7662,33.0823,2.8924,1.6693,0.0,38.92,26.75,否
603367,603367.SH,沪,辰欣药业,14.1,63.84,63.84,15.6294,24.8522,1.0215,1.8916,2.47,35.2,59.94,否
603368,603368.SH,沪,柳药集团,15.88,63.08,63.08,9.605,9.7109,0.8311,0.3006,4.18,20.92,24.09,否
603369,603369.SH,沪,今世缘,27.89,347.73,347.73,14.1546,14.0958,2.0278,3.5972,4.3,45.6,38.84,否
603379,603379.SH,沪,三美股份,61.45,375.14,375.14,17.3159,17.4892,4.7557,6.2154,2.47,87.2,29.53,否
603380,603380.SH,沪,易德龙,35.47,56.91,56.91,25.5044,25.7206,3.8158,2.388,1.69,56.3,37.0,否
603383,603383.SH,沪,顶点软件,28.59,58.72,58.72,29.7453,34.5302,4.0486,10.0556,2.8,49.27,41.97,否
603393,603393.SH,沪,新天然气,24.37,103.31,103.31,18.0943,17.6541,1.0664,2.7262,3.28,44.0,44.61,否
603416,603416.SH,沪,信捷电气,45.37,63.31,71.22,27.1288,29.6581,2.7322,3.4083,3.39,68.78,34.04,否
